Trait,Units,Description,Group,Mappable,Type,Data_Type,Sum,Valid,Min/List,Max,Eng Desc,,,,,,,
Dummy,none,Dummy,Dummy,,D,N,,none,,,,,,,,,,
Alive,,,CORE,,,,,,,,,,,,,,,
Clone,,,CORE,,,,,,,,,,,,,,,
Date,,,CORE,,,,,,,,,,,,,,,
Genotype_id,,,CORE,,,,,,,,,,,,,,,
Genotype_name,,,CORE,,,,,,,,,,,,,,,
Family_id,,,CORE,,,,,,,,,,,,,,,
Family_name,,,CORE,,,,,,,,,,,,,,,
Family_id,,,CORE,,,,,,,,,,,,,,,
Family_name,,,CORE,,,,,,,,,,,,,,,
Mum_id,,,CORE,,,,,,,,,,,,,,,
Mum_name,,,CORE,,,,,,,,,,,,,,,
Mum_type,,,CORE,,,,,,,,,,,,,,,
Dad_id,,,CORE,,,,,,,,,,,,,,,
Dad_name,,,CORE,,,,,,,,,,,,,,,
Dad_type,,,CORE,,,,,,,,,,,,,,,
Ploc,,,CORE,,,,,,,,,,,,,,,
Ppos,,,CORE,,,,,,,,,,,,,,,
Prow,,,CORE,,,,,,,,,,,,,,,
Pstem,,,CORE,,,,,,,,,,,,,,,
Formula,,Formula - do not edit,Test,,D,N,,none,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Propagation,,Propagation type,Design,0,D,A,First,LIST,"seedlings,cuttings",,,,,,,,,
Rep,,Complete replicate,Design,0,D,N,First,none,,,,,,,,,,
Block,,Block,Design,0,D,N,First,none,,,Block,,,,,,,
Block_in_rep,,Incomplete block within replicate,Design,0,D,N,First,none,,,,,,,,,,
Plot,,Tree ID within plot,Design,0,D,N,First,none,,,Plot,,,,,,,
Plot_in_rep,,Field plot within replicate,Design,0,D,N,First,none,,,,,,,,,,
Tree_in_plot,,Tree within row within  plot,Design,0,D,N,First,none,,,,,,,,,,
Tree_in_section,,Tree within section,Design,0,D,N,First,none,,,,,,,,,,
Br,$1-6,Branching,Form,1,M,N,Avg,INT,1,6,BR,,,,,,,
Dm,cm,Diameter at breast height,Growth,1,M,N,RSS,none,,,DM,,,,,,,
Dm,cm,Diameter at breast height,Growth,1,M,N,RSS,none,,,DIAM,,,,,,,
Dm,cm,Diameter at breast height,Growth,1,M,N,RSS,none,,,DIAMETER,,,,,,,
Pil,mm,Pilodyn penetration,Wood,1,M,N,First,none,,,DN,,,,,,,
St,$1-6,Straightness,Form,1,M,N,Avg,INT,1,6,ST,,,,,,,
Sur,0/$1,Survival,Health,1,M,N,Max,INT,0,1,SU,,,,,,,
Sur,0/$1,Survival,Health,1,M,N,Max,INT,0,1,SURVIVAL,,,,,,,
Sur,0/$1,Survival,Health,1,M,N,Max,INT,0,1,SURA,,,,,,,
Tree,,Tree position within plot,Design,0,D,N,First,none,,,,,,,,,,
Ht,m,Tree height,Growth,1,M,N,,NUM,,,HT,,,,,,,
Av,m/s,Acoustic velocity,Wood,1,M,N,First,NUM,,,AV,,,,,,,
For,,Form,Form,1,M,N,Avg,INT,,,,,,,,,,
Crwd,,Crown width,Growth,1,M,N,Avg,NUM,,,,,,,,,,
Pg,,Plagiotropic growth,Form,1,M,N,,INT,,,,,,,,,,
Incr,,Height increment,Growth,1,M,N,,NUM,,,,,,,,,,
Top_ht,,Top height,Growth,1,M,N,,NUM,,,,,,,,,,
Bs,$1/2,Basal sweep,Form,1,M,N,,INT,1,2,BS,,,,,,,
Leader,,Leader,Form,1,M,N,,,,,,,,,,,,
Nd,,Needle damage?,Health,1,M,N,,,,,,,,,,,,
Damage,$1/5,Damage,Health,0,M,N,,INT,1,5,Damage,,,,,,,
Fr,$0/1,Forking,Form,1,M,N,,INT,1,,FO,,,,,,,
DBHOB,cm,DBH Over Bark,Growth,1,M,N,,NUM,,,DBH_disc,,,,,,,
DBHUB,cm,DBH Under Bark ,Growth,1,M,N,,NUM,,,DBH_core,,,,,,,
DRS,Percent,Detrended Resistance Stripped averaged over entire drill trace,Wood,1,M,N,,NUM,,,Detrended_resistance_stripped,,,,,,,
DRE,Percent,Detrended Resistance at Entry (first 3cm),Wood,1,M,N,,NUM,,,Resistance(3cm),,,,,,,
BTE,cm,Bark Thickness at Entry,Wood,1,M,N,,NUM,,,Bark_thickness_entry,,,,,,,
Cull,$0/1,Whether to remove from selection based on stem form ,Growth,1,M,N,,INT,0,1,Cull,,,,,,,
Cr,cm,Crown width,Growth,1,M,N,,NUM,,,CR,,,,,,,
Ht,m,Tree height,Growth,1,M,N,,NUM,,,HEIGHT,,,,,,,
Frost,$1-5,"Frost damange, whether tree is 1-undamaged, 2- needles damaged, 3- frosted on main stem 4- main stem dead or 5- dead",Health,1,M,N,,INT,1,5,FR,,,,,,,
